hotel,price,score,avg review,reviews count,address,date
Hôtel de la Couronne,CHF 150,"8.3
Scored 8.3",Very Good,"1,018",Morges,2024-05-25
Royal Manotel,CHF 254,"7.9
Scored 7.9",Good,"4,719","Paquis, Geneva",2024-05-25
Moxy Lausanne City,CHF 176,"8.5
Scored 8.5",Very Good,"3,072","Lausanne Center, Lausanne",2024-05-25
Hotel Beausite,CHF 339,"8.3
Scored 8.3",Very Good,"1,711",Interlaken,2024-05-25
Boutique & Business Hotel La Tureta,CHF 166,"8.9
Scored 8.9",Excellent,"1,679",Bellinzona,2024-05-25
Hasli Lodge,CHF 117,"7.0
Scored 7.0",Good,"1,318",Meiringen,2024-05-25
House of Harmony,CHF 120,"7.9
Scored 7.9",Good,866,Stäfa,2024-05-25
Krone by b-smart,CHF 173,"7.5
Scored 7.5",Good,401,Bad Ragaz,2024-05-25
Hotel Märthof Basel,CHF 274,"9.0
Scored 9.0",Wonderful,"1,700","Old Town Grossbasel, Basel",2024-05-25
b-smart hotel Widnau,CHF 139,"8.2
Scored 8.2",Very Good,"1,018",Widnau,2024-05-25
Peanut Mountain Lodge & Le Communal,CHF 152,"7.8
Scored 7.8",Good,254,Val-d'Illiez,2024-05-25
Historic Hotel Steinbock,CHF 216,"7.7
Scored 7.7",Good,"1,257",Wilderswil,2024-05-25
Hotel San Carlo,CHF 160,"7.8
Scored 7.8",Good,"2,039","Lugano City-Centre, Lugano",2024-05-25
Casa Sheila,CHF 217,"9.1
Scored 9.1",Wonderful,71,Quartino,2024-05-25
Hotel Alexander,CHF 113,"8.4
Scored 8.4",Very Good,277,"Clara, Basel",2024-05-25
The R Apartment Zugerberg - EV Wallbox - Terrasse,CHF 438,"9.2
Scored 9.2",Wonderful,23,Geroldswil,2024-05-25
harry's home Bern-Expo,CHF 134,"8.5
Scored 8.5",Very Good,"1,477",Bern,2024-05-25
Hotel Millennium,CHF 153,"8.8
Scored 8.8",Excellent,"1,400",Locarno,2024-05-25
Anstatthotel Goldau - self-check-in,CHF 118,"7.9
Scored 7.9",Good,372,Goldau,2024-05-25
Hotel & Restaurant Schloss Schwandegg,CHF 143,"9.2
Scored 9.2",Wonderful,261,Oberstammheim,2024-05-25
Limmathof Baden - Historisches Haus & Spa,CHF 346,"8.6
Scored 8.6",Excellent,398,Baden,2024-05-25
Centra Hotel Zurich,CHF 102,"8.4
Scored 8.4",Very Good,572,Bassersdorf,2024-05-25
Best Western Plus Hotel Bahnhof,CHF 164,"8.7
Scored 8.7",Excellent,"1,082",Schaffhausen,2024-05-25
Precise Tale Seehof Davos,CHF 306,"8.5
Scored 8.5",Very Good,"1,022",Davos,2024-05-25
Hotel Unione,CHF 182,"8.1
Scored 8.1",Very Good,697,Bellinzona,2024-05-25
Hotel sleep&stay,CHF 149,"8.9
Scored 8.9",Excellent,959,Eglisau,2024-05-25
prizeotel Bern-City,CHF 115,"8.3
Scored 8.3",Very Good,"10,928","Breitenrain-Lorraine, Bern",2024-05-25
Chalet Rosa B&B,CHF 240,"8.5
Scored 8.5",Very Good,902,Lauterbrunnen,2024-05-25
Hotel Allegra,CHF 146,"8.6
Scored 8.6",Excellent,451,Zuoz,2024-05-25
Hotel Coop Tagungszentrum & Hotelpark im Grünen,CHF 147,"8.4
Scored 8.4",Very Good,735,Muttenz,2024-05-25
Belle Epoque Hotel Victoria & Apartments,CHF 170,"8.3
Scored 8.3",Very Good,"1,015",Kandersteg,2024-05-25
Modern Times Hotel Vevey,CHF 175,"8.5
Scored 8.5",Very Good,"1,714",Vevey,2024-05-25
